PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
"Why Not Iron, Inc.",Patricia Kelly,4401,4425,W,Kinize,St,28,West Garfield Park,Northwest Industrial Corridor,9/27/2016,8/10/2017,Industrial,"partial completion of the approved masonry repairs (masonry repairs at the east elevation (demolish exterior masonry as needed for lintel replacement; remove and replace nine (9) window lintels and the lintel and I-beam at the service door and overhead door area; install new flashings and weep ropes; reinstall face brick; grind out mortar joints and remove approx. 100 bricks, replace with face bricks that match the originals, and tuck point); masonry repairs at the north elevation (grind out mortar joints; remove parapet wall brick wythe; rebuild the parapet wall to the original height using new face bricks that match the originals; tuck point); and remove and replace seven (7) glass block type windows and vents), completion of the approved masonry repairs (masonry repairs at the east elevation (demolish exterior masonry as needed for lintel replacement; remove and replace nine (9) window lintels and the lintel and I-beam at the service door and overhead door area; install new flashings and weep ropes; reinstall face brick; grind out mortar joints and remove approx. 100 bricks, replace with face bricks that match the originals, and tuck point); masonry repairs at the north elevation (grind out mortar joints; remove parapet wall brick wythe; rebuild the parapet wall to the original height using new face bricks that match the originals; tuck point); and remove and replace seven (7) glass block type windows and vents); and remove and replace seven (7) glass block type windows and vents).  Address range is 4401-25 W. Kinize St.",147500,295000,2,18,POINT (-87.735833 41.887644)
Harry Cannon,Harry Cannon,700,704,W,119th,St,34,West Pullman,119th/Halsted,,2/27/2007,Landlord,"roof repair, new door, ADA accessable, stair repair, floor repair, HVAC; address range is 700-704 W 119th St",23670,31560,,,POINT (-87.639642 41.67783000000001)
"Molly Meyer, LLC dba Omni Ecosystems",Molly Meyer,4131,,S,State,St,3,Grand Boulevard,47th/King,10/31/2019,8/27/2021,General Industrial,"Tuckpointing, flashing, roofing, insulation, HVAC, electrical, windows, upgraded water service, gas service, structural upgrades to fortify roof, and elevator for ADA accessibility.",150000,1126761.89,150,30,POINT (-87.626254 41.818768)
Pure Asphalt Co,Michael Knowles Francis,3455,,W,31st,Pl,22,South Lawndale,Little Village,9/9/2011,6/12/2012,Industrial,,69071.46,138142.91,2,,POINT (-87.71216 41.836058)
"Shin's Pride Cleaners, Inc.",Choong Ho Shin,3450,,S,Giles,Ave,4,Douglas,Bronzeville,6/4/2018,5/29/2019,Commercial,"remove and replace evaporative cooler units at rooftop; remodel two (2) interior restrooms (framing, new rough plumbing, new ceiling, new bath fixtures, electrical outlets); remove and replace the electrical panel; masonry repairs at the exterior (furnish and install new copings; tuck-pointing); level the subfloor and furnish and install approx. 3,700 sf of new VCT flooring; remove existing knee wall and install a new brick knee wall; install new concrete at entry; remove existing signage at exterior and reconfigure electrical lines to accommodate exterior lights; furnish and install two (2) new exterior wall-mounted accent lights",93868.5,125158,0,4,POINT (-87.619334 41.831444)
Hair Mechanic's Salon,Virginia Knight,3356,,W,Chicago,Ave,27,Humboldt Park,Chicago Central Park,7/10/2012,9/9/2013,Commercial,", , storefront, plumbing, electrical, doors, drywall, painting, flooring, HVAC, framing.",66305.03,96813.42,1,4,POINT (-87.711059 41.895535)
Purelku Jewelers,Imer Purelku,4011,,N,Damen,Ave,47,North Center,Western Avenue (South),,9/29/2009,Commercial,Security system,330.5,661,,,POINT (-87.678751 41.954535)
"Facility Wizard Software, Inc. DBA Wizard Software Solutions",Mary Johnson,4147,,N,Ravenswood,Ave,47,Lake View,Ravenswood Industrial Corridor,3/15/2018,12/4/2018,Commercial,furnish and install thirty-one (31) new aluminum bronze windows. Located in Suite 400.,9500,19000,0,23,POINT (-87.673852 41.956934)
Liberty Fastener Company,Lawrence Scharringhausen,2950,,W,Chicago,Ave,26,West Town,Kinzie Industrial Corridor,,10/1/2003,Industrial,Window Replacement,50000,100000,,,POINT (-87.70134 41.895624)
5621 W Irving Park Inc,Jerzy & Danuta Szul,5621,,W,Irving Park,Rd,38,Portage Park,West Irving Park,6/1/2009,9/22/2010,Commercial,"HVAC, tuckpointing, façade, ADA accessible, structural supports, flooring, drywall, drain, seepage., parapet wall",63653.92,130446.78,,,POINT (-87.76792700000001 41.953184)
Steep Theatre Co,Peter Moore,1115,,W,Berwyn,Ave,48,Edgewater,Bryn Mawr Broadway,,1/31/2009,Commercial,"Complete Renovation, soundproofing, roof solar panels",140361.95,187149.26,,,POINT (-87.658629 41.978151)
"Smart Choice Apparel, Inc.",Mohammed Saleem,3937,,W,Madison,St,28,West Garfield Park,Madison/Austin,7/2/2014,3/31/2015,Commercial,"exterior renovations including replacement of the storefront system with a new frame, windows, doors, and entryway; interior renovations including carpentry and framing work, new walls in retail area, new suspended ceiling system and ceiling tiles, new LED light fixtures, renovation of restroom with new plumbing fixtures, new rooftop HVAC unit and ductwork, remove and replace carpeting, new interior doors and hardware in storage area, painting and finishing, and permit expenses",48548.25,65753.19,0,2,POINT (-87.72454 41.880749)
Jane Addams Development Corp.,Michael Buccitelli,1801,1815,W,Berteau,Ave,47,North Center,Ravenswood Industrial Corridor,8/25/2011,4/30/2012,Commercial,"new wall, finishing, tuckpointing, furnaces, basement build-out, heaters, boiler room build-out, bathrooms, water/gas lines, piping, boiler, ductwork,  electrical work, service, distribution, lighting work, asbestos removal, underground storage tank; address range is 1801-1815 W Berteau Ave.",130403.75,195107.07,17,18,POINT (-87.674433 41.95788)
Venetta Carter,Venetta Carter,8619,8625,S,Cottage Grove,Ave,8,Chatham,87th/Cottage Grove,8/1/2017,7/11/2018,Commercial,"a roofing replacement including removal of the existing roofing system down to the decking, repairs to decking as needed, removal of roof flashings along the brick wall and tuckpointing as needed, new insulation, installation of roofing rubber membrane, and new gutters and downspouts.  Address range is 8619-25 S. Cottage Grove Ave.",25882.5,34510,0,15,POINT (-87.604782 41.737841)
"Chicago Soccer, Inc.",Imre Hidvegi,4839,,N,Western,Ave,47,Lincoln Square,Western Avenue (North),11/5/2013,11/19/2014,Commercial,Roofing,22550,45100,6,22,POINT (-87.68885400000002 41.969573)
Richard Hae Dong Park,Richard Hae Dong Park,3142,3148,W,Cermak,Rd,24,South Lawndale,Ogden/Pulaski,9/28/2011,9/14/2012,Commercial,Address range is 3142-3148 W Cermak Rd.,150000,222150,,,POINT (-87.704223 41.851796)
Illinois Engraving & Manufacturing Co.,Wayne Tumminello,4530,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,10/13/2015,9/23/2016,Industrial,"flooring work including patching and prepping existing floors in office spaces, restroom, and entry vestibule and installing a 12” x 12” VCT (vinyl) tile finish; and painting of offices, restroom, and entryway",3917.11,7834.21,0,6,POINT (-87.674567 41.964019)
Pastorelli Food Products Inc,Richard Pastorelli,162,,N,Sangamon,St,27,Near West Side,Kinzie Industrial Corridor,,4/15/2004,Industrial,Loading ramps/ overhead doors/ relocate entrance,50000,234000,,,POINT (-87.650952 41.884828)
"V & N Metal Products, Inc.",Vince Egresits,2320,,W,78th,St,18,Ashburn,Greater Southwest Industrial Corridor (East),4/18/2018,2/5/2019,Industrial,"masonry work including re-building the parapet wall on the south side of the building and tuck-pointing, installation of new modified bitumen membrane roofing system including resealing of flashings, supply and installation of lead flashings at plumbing stacks, fabricate and install 24-gauge gutters and downspouts, and application of new UV protective aluminum coating over roof surface;",34606.5,69213,0,4,POINT (-87.681352 41.751918)
Midway Ice Cream,Pat C Gargano,3958,,W,58th,Pl,13,West Elsdon,63rd/Pulaski,,4/17/2007,Commercial,"Fencing, doors, roof, lighting,HVAC, floors",13761.5,27007,,,POINT (-87.72273 41.786822)
"Demeter Millwork, LLC",Asah  Desai,2135,,W,Carroll,St,27,Near West Side,Kinzie Industrial Corridor,1/14/2020,2/17/2021,Manufacturing,"Roofing repairs; masonry improvements including repair of front parapet walls and tuckpointing; structural improvements for new HVAC and humidifier; interior upgrades including new door, shades for windows; furnish and install new security cameras; mechanical upgrades such as improved drainage in rear of building, furnish and install HVAC humidification system; masonry improvements including repair of front parapet walls and tuckpointing; interior upgrades including new door, shades for windows; furnish and install new security cameras; mechanical upgrades such as improved drainage in rear of building; New interior door",150000,515505.01,6,21,POINT (-87.680213 41.887637)
"Global Choices, Inc.",Amit Amin,4535,,W,Addison,St,30,Irving Park,Portage Park,11/6/2014,10/14/2015,Industrial,"roof replacement including tear off, decking repairs, new insulation, installation of new TPO membrane, new drains and vents; and replacement of three (3) rooftop HVAC condenser units with three (3) Energy Star rated units",75350,150700,2,2,POINT (-87.740869 41.946216)
Push Indoor Cycling,Raquel Prendowski,6315,,S,Central,Ave,13,Clearing,Archer/Central,9/13/2016,11/16/2017,Commercial,"façade renovation including demolition of existing façade, construction of a new knee wall on the exterior and interior of the building, installation of limestone sills on the top of the newly installed brick knee wall, installation of new aluminum storefront frames, windows, and door, finishing work as needed, architectural services, and permit",14454,19475,1,4,POINT (-87.761699 41.777572)
"Atul Patel, DDS",Atul Patel,3414,,W,North,Ave,26,Humboldt Park,Humboldt Park,11/13/2018,8/23/2019,Commercial,"Roofing, Tuckpointing, Heating/Cooling, Electrical, Plumbing, Gas, Office Buildout, Masonry Repair, Windows/Doors, Parking, Security",100000,257881.4,2,1,POINT (-87.712386 41.910104)
"RRI Diversified Investments Corp. / Suite Little Feet, Inc.",Richard Samuel Parker,1439,1443,W,79th,St,17,Auburn Gresham,79th Street Corridor,2/9/2016,4/25/2017,Commercial,"tear off and replace roof; masonry repairs to parapet walls, rear masonry wall, and interior brick; façade improvements including installation of new storefront system, tuckpointing, and masonry work to restore upper façade; install new 400 AMP electrical service, all new rough electrical and light fixtures; plumbing work including new water, waste, vent, and gas lines, new water heaters, fixtures for restrooms, and repairs to sewer piping as necessary; all new HVAC system including exhaust and ventilation; demolition of interior partition wall to open space and concrete work to repair and level damaged floors; and interior build out for new daycare including carpentry, framing, drywall, tile floors, grid ceiling system with panels, doors, painting and finishing, completion of buildout for new daycare center including glazing and installation of storefront system with new frames, glass windows, and doors; exterior masonry work on front facade and rear of building; electrical work including new 400 AMP service, conduit and wiring, and fixtures; plumbing work including piping and gas connections; HVAC work including exhaust and ventilation systems; concrete work; rough and finish carpentry work for interior layout, insulation work, new drywall, drop ceilings throughout, flooring, hardware and trim work, painting and finishing throughout.  Address range is 1439-1443 W. 79th St.",100000,223052,9,0,POINT (-87.660079 41.750395)
"Skolnik Industries, Inc.",Howard Skolnik,4900,,S,Kilbourn,Ave,14,Archer Heights,Midway Industrial Corridor,8/11/2015,4/6/2016,Industrial,"demolish existing boiler, asbestos insulation, and make-up air unit and furnish and install three (3) new energy-efficient make-up air units at warehouse (includes new diffusers, controls, associated electrical work, associated natural gas main work, roofing of all curbs and pipe portals, steel reinforcements for the make-up air units, and associated masonry work)",104374.5,208749,0,92,POINT (-87.735653 41.803541)
"GEB, LLC",Graham E. Bowles,841,,W,Randolph,St,27,Near West Side,Near West,3/30/2012,4/19/2013,Commercial,"build-out of 841 W. Randolph for restaurant functionality: concrete work, masonry and stonework, metal handrail fixtures, wall framing, rough and trim carpentry, insulation, doors, storefront system, windows, garage door, drywall, fiberglass panels, acoustical ceiling tile, tile work, concrete stain and epoxy, stone countertops, wallpaper, painting, bathroom fixtures, kitchen hoods, walk-in coolers, HVAC, plumbing, and electrical",99470.8,461569.59,50,30,POINT (-87.648909 41.884308)
The Windsor Tavern,Michael Spina,4530,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,3/2/2004,Commercial,Façade Renovation / Window and Door Replacement /,26536.5,53073,,,POINT (-87.75661800000002 41.963178)
Music House Inc,Richard Trumbo,2925,,W,Devon,Ave,50,West Ridge,Devon/Western,5/4/2011,5/7/2012,Commercial,"façade, signage, interior renovations",66160.88,88214.5,24,2,POINT (-87.703046 41.997497)
Top of the Line,Susan McClelland,4717,,W,Chicago,Ave,28,Austin,Northwest Industrial Corridor,,6/21/2006,Industrial,"roof, I-Beam work, garage doors, wrought iron fencing",50000,102000,,,POINT (-87.744027 41.894975)
La Luce,Anna Moretti,1393,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,9/6/2007,Commercial,purchase adjacent property for parking,50000,250000,,,POINT (-87.662169 41.885472)
Salon Great Cuts Inc.,Kauser Jahan,3533,,N,Western,Ave,47,North Center,Western Avenue (South),6/5/2020,8/12/2021,Retail,"Front door complete replacement (ADA Compliant setup), mechanical and plumbing work, electrical wiring update, roof work, exhaust installation, subfloor, repair/replace sealing and re-tiling.",44400,59200,3,2,POINT (-87.688133 41.945771)
1800 W Lake LLC,Chris Bambulas,1800,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,6/13/2005,Landlord,parking lot paving,50000,105000,,,POINT (-87.671916 41.885207)
Sun Hee Lim,Sun Hee Lim,5668,,N,Clark,St,40,Edgewater,Clark/Ridge,,4/1/2009,Landlord,"Tuckpointing, brickwork, Interior drycleaning buildout,awnings,, masonry",106655.25,142207,,,POINT (-87.669185 41.985356)
Tom Tov Kosher Bakery,Diana Ackerman,2944,,W,Devon,Ave,50,West Ridge,Devon/Western,,2/5/2010,Commercial,,6263.32,25053.28,,,POINT (-87.703521 41.997488)
Irving Park Chiropractic Center S.C.,Max N Lazarowich,1923,,W,Irving Park,Rd,47,North Center,Western Avenue (South),12/6/2016,5/23/2018,Commercial,"installation of two (2) new storefront windows with insulated glass and necessary framing, masonry repairs as needed for the parapet wall and chimney along the east elevation and replacement of damage bricks along the lower east and south elevation, and the installation of a new 3 ½ ton condenser air conditioner unit.",6215.54,8287.38,0,2,POINT (-87.676999 41.954146)
"Airam IL, Inc. / Sabor a Mi, Inc. dba Nana",Omar Solis,3267,,S,Halsted,St,11,Bridgeport,35th/Halsted,9/11/2018,1/9/2019,Commercial,the installation of one (1) new furnace and air conditioning unit along with associated ductwork. This project helped Nana Restaurant to expand their business into the adjacent storefront to provide take-out services to patrons.,9580,22080,5,20,POINT (-87.646186 41.834672)
Williams Landscaping Inc,Craig Williams,6050,,N,Keystone,Ave,39,North Park,Peterson/Pulaski,5/18/2012,1/2/2013,Commercial,,108650.03,149918,1,15,POINT (-87.730088 41.991517)
Bark Out Loud,Anne Marie Castiglioni,5232,,W,Irving Park,Rd,38,Portage Park,Portage Park,,11/29/2007,Commercial,"Façade, Windows, Electric, interior renovations, sprikler system, flooring",50000,71640,,,POINT (-87.758449 41.953303)
Northwest Paper Co Joe,Carol Mihovilvich,4519,,W,Patterson,Ave,38,Irving Park,Portage Park,,7/6/2005,Commercial,Roof,31373.8,62747.6,,,POINT (-87.74046100000001 41.947137)
"Marigold, Inc.",Rob Bult,8815,,S,Dobson,Ave,8,Burnside,Stony Island/Burnside,11/5/2013,12/4/2014,Industrial,"new roofing systems, new wrought iron fence and gate",86803.75,210457,0,16,POINT (-87.599042 41.733614)
Pastorelli Food Products Inc,Richard Pastorelli,901,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,1/25/2010,4/13/2011,Industrial,"cement floor, expansion of production room, cement floor, expansion of production room",150000,636240,,,POINT (-87.649965 41.88564)
Congress Theatre,Erinero Carranza,2135,,N,Milwaukee,Ave,1,Logan Square,Fullerton/Milwaukee,,4/7/2004,Commercial,Heating System electrical improvements on stage,50000,88484,,,POINT (-87.69246 41.919944)
Theodore Durden - Landlord,Theodore Durden,8729,,S,Commercial,Ave,10,South Chicago,Commercial Avenue,8/5/2019,10/9/2020,Office,"remove and replace existing shingle system with landmark two-piece laminated shingles; Remove and replace one (1) furnace, one (1) condenser, and one (1) coil; provide and install 200-amp electrical service with associated sockets and breaker panels in the basement, upgrade electrical system in the storefront.",19251,30891,0,7,POINT (-87.551423 41.736458)
"MHF Properties, LLC",Ibrahim Fattah,3725,,W,Chicago,Ave,27,Humboldt Park,Retail Thrive Zone - West Humboldt,9/28/2018,8/9/2019,Commercial,"HVAC, plumbing, flooring, drywall/ceiling, painting, roofing, tuckpointing, and security cameras.",198712.5,264950,6,0,POINT (-87.719633 41.895463)
"Magnum Transportation, Inc.",William Bonko,4101,,S,Morgan,St,11,New City,Stockyards Annex,7/20/2020,2/22/2021,General Industrial,"roofing work including tear-off, replacement of decking as needed, installation of TPO roofing system, new flashing, lead pipe stacks, aluminum portals, and remove unused venting systems and antennas; lighting retrofit including re-wiring, and alternations to accommodate new LED lighting package.",54175,108350,0,5,POINT (-87.650683 41.819652)
Chicago Ballet,Paul Abrahamson,3433,,W,Diversey,Ave,35,Lincoln Park,Fullerton/Milwaukee,,4/18/2007,Commercial,"interior renovation, interior renovation",40062.5,56500,,,POINT (-87.713621 41.931937)
Demera Ethiopian Restaurant,Tigist Reda,4801,,N,Broadway,St,46,Uptown,Lawrence/Broadway,2/25/2011,8/25/2011,Commercial,"bathrooms, floor, canopy, lighting, server station, basement remodel, kitchen, water heater",24000,70000,7,,POINT (-87.65967 41.969052)
Food Town,Fahed Sweilem,935,,E,79th,St,8,Chatham,87th/Cottage Grove,3/4/2016,3/24/2017,Commercial,"removal of  the existing roofing system, repairing of the decking and parapet walls as needed, and the installation of a new rubber roofing system; masonry work including tuckpointing and replacement of bricks as needed along the east and west elevations; and the installation of a new storefront vestibule with an aluminum frame, windows and doors",88462.5,117950,0,10,POINT (-87.601332 41.75132)
"South Chicago Art Center, NFP dba SkyArt",Sarah Ward,3026,,E,91st,St,10,South Chicago,Commercial Avenue,10/15/2014,1/20/2016,Commercial,"tear off of roof, new decking, plywood, insulation, cover board, and a 60 mil TPO membrane system; mechanical HVAC work including installation of two (2) 7.5 ton RTUs and forced air ductwork system throughout the interior, completion of the buildout including finishing of roofing work (tear off, new decking, plywood, insulation, cover board, and a 60 mil TPO membrane system) and new mechanical HVAC work (installation of two (2) 7.5 ton RTUs and forced air ductwork system throughout the interior)",100000,505863,3,5,POINT (-87.550076 41.730081)
Gateway to Learning Special Education & Training Center,John Ratzenberger,4925,,N,Lincoln,Ave,40,Lincoln Square,Western Avenue (North),12/8/2010,6/15/2011,Commercial,HVAC,37900,75800,0,22,POINT (-87.690143 41.97115)
Rogelio Llamedo,Rogelio Llamedo,3717,,W,Armitage,Ave,26,Logan Square,Fullerton/Milwaukee,8/5/2014,7/21/2015,Commercial,"Installation of commercial storefront, tuck-pointing, electrical upgrade, new meter and panel box, lighting and roofing.",23519.25,31359,0,2,POINT (-87.719859 41.917262)
Gleason & Shreffler,Douglas Shreffler,4653,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,3/14/2003,Commercial,HVAC / Interior Rehab / Façade Renovation,50000,100000,,,POINT (-87.75835200000002 41.965149)
Artemios Tacos,Alfredo Gonzalez,4918,,W,Irving Park,Rd,45,Portage Park,Portage Park,,8/12/2008,Commercial,"façade renovation, interior renovation, sigage, roofing, sewer repair",6825,13650,,,POINT (-87.750672 41.953395)
Posh Pet Day Spa,Lynn Mulrenin,3514,,W,111th,St,19,Mount Greenwood,111th/Kedzie,6/19/2012,3/7/2013,Commercial,",",18375,24500,3,10,POINT (-87.70866 41.691447)
Duwell Fish Inc. #2,John White,617,,S,Pulaski,Rd,24,West Garfield Park,Midwest,7/3/2013,5/28/2015,Commercial,"demolition and removal of dilapidated second story of the building, re-roofing the property, rough carpentry and framing work on the interior and for new roof structure, rough plumbing work including installation of a new water heater, rough electrical work, HVAC work, and masonry work including installing a new brick veneer on façade, install new roofing (2nd story previously demolished), gutters and downspouts; electrical work including extension of existing electrical service, wiring, new outlets, and light fixtures for existing space and new restaurant take-out space; carpentry, framing and drywall for new restaurant space; new flooring (concrete subfloors done previously); new exterior windows and door; painting and finishing work",100000,140668.83,3,3,POINT (-87.72538 41.872948)
A Relaxed You Inc,Kathleen Fitzgerald,11119,,S,Kedzie,Ave,19,Mount Greenwood,111th/Kedzie,,6/11/2010,Commercial,"tuckpointing, roof, doors, room build-out, plumbing, sidewalk",15336,30672,,,POINT (-87.700799 41.690942)
Lakeshore Plumbing,Leo Deely,5332,,N,Elston,Ave,45,Jefferson Park,Elston/Armstrong,12/29/2013,1/15/2015,Commercial,"facade renovations, windows, doors, parking lot, sewer work, landscaping and fencing including electrical gate.",81158.25,116771,15,10,POINT (-87.75648 41.978149)
La Fiesta Mexican Restaurant,Michael M Grant,3333,,W,111th,St,19,Mount Greenwood,111th/Kedzie,1/24/2012,6/11/2012,Commercial,,32594,68151,3,32,POINT (-87.704264 41.691512)
Reed DL Property,Donald & Lorraine Reed,3301,,W,111th,St,19,Mount Greenwood,111th/Kedzie,,6/11/2010,Commercial,"HVAC, plumbing, tuckpointing, flooring, bathroom, electrical, windows",149236.5,298473,,,POINT (-87.703352 41.691525)
Mayfair Academy,Peggy Sutton,8701,,S,Bennett,Ave,8,Calumet Heights,Stony Island/Burnside,4/24/2012,11/16/2012,Commercial,,149850,199800,3,13,POINT (-87.578137 41.736807)
In-On Thai Inc.,Atichat Srisawangpan,4641,,N,Broadway,Ave,46,Uptown,Wilson Yard,2/18/2018,2/5/2020,Mixed-Use: Retail and Residential,"install new vestibule with aluminum glass door; install new doors and trim, and install ceramic tile on dining room wall and flooring throughout (labor only); finish electrical work including furnish and install lighting fixtures, emergency lighting, exit signs, smoke detectors, GFI outlets, carbon monoxide detectors, and receptacles, finish plumbing including furnish and install drains and vents for all sinks, toilets, and floor drains, new gas lines, and install hand sinks, hot water heater, grease trap, and exhaust hood (labor only); build-out of restrooms (build partition walls, drywall, flooring, furnish and install fixtures, exhaust fans, doors and thresholds, rough and finish plumbing); HVAC work including re-location of existing furnace, thermostat humidifier, and A/C condensing unit, install new spiral ductwork, exhaust fans, vents, returns, and trim; painting, and finishing trim, and architectural drawings.",50000,77550,1,3,POINT (-87.657934 41.966199)
Kye Su Kim,Kye Su Kim,3944,3960,W,Lawrence,Ave,35,Albany Park,Lawrence/Pulaski,1/17/2013,12/20/2013,Commercial,"tuckpointing, parapet and masonry repairs (includes replacement of brick with color-matched materials when applicable), install new guard rails, concrete work (for parking lot, landings, and rear sidewalk), roofing, parking lot improvements.  Address range is 3944-3960 W. Lawrence Ave.",41113.64,82227.27,0,35,POINT (-87.727268 41.968295)
"Stop and Shop For U, Inc. (Frozen Foods)",Qazi Siddiqui,333,,W,North,Ave,27,Near North Side,Near North,12/18/2012,1/28/2014,Commercial,"an interior build out of a start-up convenience store called Frozen Foods including rough and finish electrical and lighting, plumbing and fixtures, HVAC duct work, flooring and tiling, drop ceilings, drywall and insulation, rough and finish carpentry, exterior signage and new glass for windows and doors, painting and finishing; located in Suite F.",50000,78700,4,0,POINT (-87.63819 41.911075)
"Buckeye Construction Co., Inc.",Mike DiFiore,7827,,S,Claremont,Ave,18,Ashburn,Greater Southwest Industrial Corridor (East),8/7/2018,1/8/2019,Commercial,"Remove and replace existing roofing membrane and insulation system, repairs to deck as necessary; renovate existing parapet walls, grind all joints, remove and replace bricks where necessary; and associated permit fees.",33421.88,44562.5,0,6,POINT (-87.681548 41.751012)
"Dimitre Photography, Inc.",Dimitre Barde,2716,,W,North,Ave,1,West Town,Humboldt Park,10/13/2015,3/29/2016,Commercial,"install new aluminum framed storefront system; electrical work including install new sub-panel, switches, outlets, and relocate electrical wiring; plumbing work for ADA-compliant restroom and kitchenette including new gas line (fixtures provided by ); tile flooring in restroom; insulation work in walls and ceiling and install new drywall throughout; HVAC work including install new ductwork and exhaust vents; concrete work to level and repair flooring in rear of building; masonry work to create opening in rear masonry wall for loading area including installation of a metal support beam and steel lintel, and interior and exterior tuckpointing work as needed; carpentry and framing work throughout interior for new layout, rebuild roof over rear section with new joists, insulation, sheathing and membrane, and rebuild existing stairwell to basement commercial storage area (stairs to roof/roof access/and porch re-build to residential units not included); painting and finishing work",100000,157604,0,3,POINT (-87.695169 41.910301)
Bridgeport Pasty,John Sebastian,3142,,S,Morgan,St,11,Bridgeport,35th/Halsted,11/28/2012,8/2/2013,Commercial,"build out of restaurant space including strofront renovations (aluminum, windows, doors), tuckpointing and masonry repairs, carpentry and framing, flooring and tiling, plumbing, HVAC, electrical, and purchase of the solar panels (obtained but not yet installed), balance of reimbursement for previously-completed work items, installing solar panels on the roof of property",87137.26,116183.01,7,7,POINT (-87.651116 41.836677)
"Graymont Equipment Distribution, LLC",Nick Wright,1621,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,12/25/2018,8/23/2019,Industrial,"New skylight, roof improvements, renovations to existing space",70200.63,199325,10,80,POINT (-87.667938 41.887801)
Sean O'Neill,Sean O'Neill,3452,3456,N,Pulaski,Rd,30,Irving Park,Avondale,5/4/2011,3/30/2012,Commercial,"façade, windows, tuckpointing, doors, masonry, parking lot paving, landscape; address range is 3452-3456 N Pulaski Rd.",67254,90545,3,3,POINT (-87.72733 41.944214)
"Slidematic Acquistion, LLC dba Slidematic Products",Marino Petropoulos,4520,,W,Addison,St,45,Irving Park,Portage Park,2/26/2019,6/12/2020,Manufacturing,"masonry work including tuck-pointing, removal and replacement of lintels, replacement of bricks as necessary, and re-mortar of the parapet walls; roof repairs including replacing insulation as necessary, patching various sections, and replace four (4) skylights; buildout of four (4) bathrooms, including removal and replacement of faucets, valves, hand wash stations, urinals, sinks, laundry tubs, toilets, an electrical water heater, and water filters; replace sprinklers throughout the facility; new concrete flooring throughout the facility where necessary; install new lighting throughout the facility; rough framing and carpentry, finishing, and painting; and remove and replace existing furnaces",150000,303303,0,40,POINT (-87.740091 41.946227)
Demeter + Dionysos dba FoodSmart,John Mourikes & Gerasimos Spiratos,2901,,W,Armitage,Ave,1,Logan Square,Fullerton/Milwaukee,3/6/2011,3/9/2012,Commercial,"Interior renovations, plumbing, electrical, carpentry/drywall, hvac, tile, demo, walk in cooler, outdoor condensing unit, multi deck cooler, parking lot",53308.75,224481.41,5,,POINT (-87.699617 41.917474)
Nobert Plating Co,Diann Sickles,340,,N,Ashland,Ave,27,Near West Side,Kinzie Industrial Corridor,,8/31/2011,Commercial,"façade, tuck-pointing, environmental remediation,, Roof, tuckpointing, façade, tuck-pointing, environmental remediation,,",91012.32,182024.62,,,POINT (-87.667128 41.88763)
The Barry Law Group PC,Kevin Barry,3551,,W,111th,St,19,Mount Greenwood,111th/Kedzie,10/29/2011,2/21/2013,Commercial,"Front façade, awning, windows",29625,39500,0,3,POINT (-87.710241 41.691422)
American Soda Fountain Inc,Terry Schy,455,,N,Oakley,Blvd,27,West Town,Kinzie Industrial Corridor,,2/25/2002,Industrial,Roof repair/ tuckpointing/ sign,19061,46118,,,POINT (-87.684228 41.890148)
"Platt Luggage, Inc.",Daniel S. Platt,4051,,W,51st,St,23,Archer Heights,63rd/Pulaski,8/30/2016,7/21/2017,Industrial,"roofing work over office including removal of gravel, repairs to roof surface, installation of insulation board and modified bitumen membrane to seal, installation of new flashings around perimeter, curbs, and penetrations, and installation of new galvanized gutters and downspouts, HVAC work including removal of old rooftop condensing unit (RTU) and installation of one (1) 10-ton RTU and one (1) 20-ton RTU with new evaporator coils and connections",55000,110000,0,40,POINT (-87.725619 41.800559)
"City News, Inc.",Joseph Angelastri,4018,,N,Cicero,Ave,45,Portage Park,Irving/Cicero,1/18/2017,10/5/2017,Commercial,installation of a new 3KW roof top mounted solar panel system along with associated electrical connections,43965,58620,2,12,POINT (-87.747368 41.954055)
Fashionably Unpredictable,Donyell Wynn,5814,,W,Chicago,Ave,29,Austin,Austin Commercial,12/20/2010,12/14/2011,Commercial,Complete renovation,80729.24,107638.99,,,POINT (-87.770851 41.894798)
